,Or1a,Or2a,Or7a,Or13a,Or22c,Or24a,Or30a,Or33b,Or35a,Or42a,Or42b,Or45a,Or45b,Or47a,Or49a,Or59a,Or67b,Or74a,Or82a,Or83a,Or85c
sfr,2.0,17.0,12.0,5.0,12.0,16.0,6.0,11.0,12.0,13.0,7.0,13.0,8.0,1.0,6.0,9.0,12.0,16.0,16.0,8.0,9.0
propanoic acid,6.0,11.0,-31.0,-4.0,9.0,12.0,-1.0,13.0,-7.0,50.0,39.0,21.0,10.0,-18.0,9.0,5.0,13.0,16.0,21.0,8.0,20.0
geranyl acetate,5.0,19.0,18.0,-2.0,4.0,17.0,3.0,11.0,11.0,28.0,-1.0,39.0,11.0,-3.0,12.0,9.0,16.0,15.0,104.0,8.0,9.0
(1R)-(-)-fenchone,2.0,17.0,-2.0,-8.0,-2.0,-2.0,8.0,12.0,-1.0,11.0,-9.0,44.0,4.0,-7.0,15.0,25.0,11.0,15.0,26.0,8.0,1.0
E2-hexenal,14.0,23.0,189.0,83.0,8.0,9.0,9.0,4.0,159.0,197.0,17.0,104.0,24.0,11.0,27.0,20.0,143.0,114.0,23.0,8.0,107.0
2-heptanone,34.0,45.0,24.0,54.0,21.0,7.0,17.0,3.0,73.0,171.0,31.0,171.0,28.0,134.0,44.0,31.0,169.0,76.0,34.0,8.0,187.0
"2,3-butanedione",9.0,24.0,32.0,3.0,4.0,23.0,9.0,6.0,9.0,228.0,153.0,37.0,25.0,31.0,24.0,23.0,51.0,21.0,18.0,8.0,48.0
cyclohexanone,9.0,19.0,8.0,-1.0,-5.0,0.0,4.0,9.0,127.0,66.0,39.0,59.0,24.0,-3.0,12.0,29.0,91.0,78.0,6.0,8.0,14.0
methyl salicylate,32.0,19.0,18.0,-7.0,211.0,71.0,26.0,8.0,-4.0,16.0,-7.0,10.0,8.0,-5.0,7.0,20.0,5.0,11.0,12.0,8.0,0.0
benzaldehyde,26.0,15.0,187.0,-8.0,8.0,173.0,176.0,8.0,51.0,24.0,-2.0,43.0,233.0,8.0,7.0,20.0,239.0,43.0,6.0,8.0,16.0
acetophenone,11.0,19.0,31.0,-9.0,161.0,247.0,111.0,6.0,-3.0,49.0,10.0,62.0,277.0,30.0,11.0,83.0,297.0,23.0,10.0,8.0,-15.0
2-methylphenol,9.0,12.0,1.0,-9.0,-12.0,40.0,215.0,8.0,8.0,-15.0,-4.0,33.0,287.0,-6.0,10.0,145.0,4.0,11.0,7.0,8.0,-8.0
4-methoxybenzene,7.0,17.0,1.0,-11.0,77.0,236.0,209.0,5.0,0.0,38.0,-5.0,29.0,138.0,13.0,5.0,111.0,89.0,14.0,14.0,8.0,13.0
"4-allyl-1,2-dimethoxybenzene",2.0,17.0,2.0,-6.0,1.0,3.0,15.0,10.0,13.0,0.0,11.0,18.0,14.0,-10.0,8.0,139.0,10.0,15.0,10.0,8.0,11.0
4-methylphenol,15.0,12.0,1.0,-7.0,8.0,11.0,191.0,9.0,-1.0,-3.0,-15.0,32.0,105.0,-5.0,10.0,6.0,9.0,15.0,12.0,8.0,-7.0
1-butanol,12.0,21.0,117.0,14.0,14.0,26.0,14.0,8.0,150.0,90.0,13.0,66.0,52.0,24.0,28.0,26.0,170.0,29.0,36.0,8.0,30.0
1-hexanol,24.0,29.0,76.0,127.0,29.0,25.0,14.0,3.0,177.0,149.0,43.0,99.0,36.0,28.0,43.0,20.0,219.0,125.0,49.0,8.0,186.0
1-octen-3-ol,30.0,34.0,39.0,165.0,11.0,20.0,6.0,4.0,85.0,30.0,-4.0,61.0,30.0,60.0,37.0,20.0,61.0,36.0,52.0,8.0,198.0
1-heptanol,21.0,24.0,3.0,52.0,-6.0,-2.0,5.0,3.0,163.0,47.0,1.0,148.0,31.0,25.0,38.0,28.0,177.0,144.0,29.0,8.0,209.0
3-octanol,38.0,40.0,7.0,143.0,-6.0,6.0,10.0,3.0,95.0,40.0,51.0,82.0,16.0,109.0,37.0,44.0,31.0,31.0,30.0,8.0,245.0
1-nonanol,8.0,18.0,-3.0,-8.0,-2.0,6.0,12.0,13.0,7.0,-1.0,-2.0,97.0,10.0,-9.0,9.0,14.0,11.0,153.0,13.0,8.0,-5.0
ethyl acetate,5.0,24.0,34.0,0.0,0.0,18.0,10.0,11.0,9.0,253.0,226.0,44.0,20.0,90.0,16.0,48.0,24.0,24.0,20.0,8.0,16.0
propyl acetate,11.0,25.0,36.0,10.0,12.0,16.0,20.0,5.0,80.0,275.0,196.0,79.0,20.0,146.0,21.0,37.0,29.0,54.0,24.0,8.0,83.0
pentyl acetate,28.0,45.0,32.0,79.0,8.0,1.0,10.0,3.0,119.0,41.0,4.0,173.0,26.0,190.0,39.0,29.0,116.0,36.0,31.0,8.0,186.0
isopentyl acetate,21.0,55.0,7.0,13.0,-10.0,-6.0,7.0,4.0,17.0,104.0,6.0,68.0,7.0,112.0,30.0,27.0,31.0,56.0,30.0,8.0,168.0
ethyl butyrate,5.0,21.0,30.0,10.0,6.0,1.0,8.0,36.0,65.0,233.0,193.0,53.0,16.0,52.0,22.0,24.0,11.0,24.0,30.0,8.0,39.0
octyl acetate,6.0,18.0,16.0,2.0,0.0,6.0,7.0,9.0,30.0,-5.0,17.0,258.0,11.0,11.0,7.0,15.0,12.0,52.0,30.0,8.0,4.0
carbon dioxide,4.0,5.0,23.0,10.0,10.0,10.0,4.0,9.0,14.0,37.0,5.0,44.0,4.0,5.0,9.0,8.0,8.0,31.0,23.0,8.0,18.0
